concept,country,org_path,img_path,dataset,ind_question,ind_attribute_values,out_question,out_attribute_values
stove_12,United Kingdom,flux1dev-gcs/stove_12/21_a stove in United Kingdom/15.png,seedimgs/0.png,flux1dev-gcs,How visually organized does the indoor space appear?,"['Organized', 'Cluttered', 'Minimal']","Does the imagery suggest a rural, or urban setting?","['Urban', 'Rural']"
stove_12,Nigeria,flux1dev-gcs/stove_12/22_a stove in Nigeria/213.png,seedimgs/1.png,flux1dev-gcs,What main elements are visible in the background?,"['Walls and windows', 'Furniture', 'Appliances (e.g. fridge, microwave, washing machine)', 'Electronic equipment (e.g. TVs, computers, speakers)', 'Empty / Bare walls']","How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), quiet / empty (few or no people or vehicles)?","['Crowded', 'Moderately busy', 'Quiet / Empty']"
stove_12,Indonesia,SD3m-gcs/stove_12/24_a stove in Indonesia/49.png,seedimgs/2.png,SD3m-gcs,What type of environment is visible?,"['Residential', 'Commercial / Public', 'Solid / Empty Background']","What natural features, if any, are visible in the background of the image?","['trees / forest', 'mountains / hills', 'waterbody', 'open ground / fields']"
stove_12,Colombia,SD3m-gcs/stove_12/25_a stove in Colombia/167.png,seedimgs/3.png,SD3m-gcs,What type of floor or ground is visible?,"['Tiled Floor', 'Wooden Floor', 'Carpeted Floor', 'Concrete Floor']",What type of road or terrain is visible?,"['Paved road', 'Dirt / gravel road (man-made)', 'Natural ground / grass (wild, non-constructed)', 'Tiled / courtyard-style surface']"
stove_12,Japan,SD21-16/stove_12/26_a stove in Japan/165.png,seedimgs/4.png,SD21-16,How visually organized does the indoor space appear?,"['Organized', 'Cluttered', 'Minimal']","Does the imagery suggest a rural, or urban setting?","['Urban', 'Rural']"
stove_12,India,flux1dev-gcs/stove_12/27_a stove in India/175.png,seedimgs/5.png,flux1dev-gcs,What main elements are visible in the background?,"['Walls and windows', 'Furniture', 'Appliances (e.g. fridge, microwave, washing machine)', 'Electronic equipment (e.g. TVs, computers, speakers)', 'Empty / Bare walls']","How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), quiet / empty (few or no people or vehicles)?","['Crowded', 'Moderately busy', 'Quiet / Empty']"
stove_12,China,SD35-gcs/stove_12/104_a stove in China/110.png,seedimgs/6.png,SD35-gcs,What type of environment is visible?,"['Residential', 'Commercial / Public', 'Solid / Empty Background']","What natural features, if any, are visible in the background of the image?","['trees / forest', 'mountains / hills', 'waterbody', 'open ground / fields']"
stove_12,United States of America,flux1dev-gcs/stove_12/105_a stove in United States of America/3.png,seedimgs/7.png,flux1dev-gcs,What type of floor or ground is visible?,"['Tiled Floor', 'Wooden Floor', 'Carpeted Floor', 'Concrete Floor']",What type of road or terrain is visible?,"['Paved road', 'Dirt / gravel road (man-made)', 'Natural ground / grass (wild, non-constructed)', 'Tiled / courtyard-style surface']"
stove_12,Mexico,flux1dev-gcs/stove_12/101_a stove in Mexico/241.png,seedimgs/8.png,flux1dev-gcs,How visually organized does the indoor space appear?,"['Organized', 'Cluttered', 'Minimal']","Does the imagery suggest a rural, or urban setting?","['Urban', 'Rural']"
stove_12,United Arab Emirates,SD35-gcs/stove_12/102_a stove in United Arab Emirates/126.png,seedimgs/9.png,SD35-gcs,What main elements are visible in the background?,"['Walls and windows', 'Furniture', 'Appliances (e.g. fridge, microwave, washing machine)', 'Electronic equipment (e.g. TVs, computers, speakers)', 'Empty / Bare walls']","How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), quiet / empty (few or no people or vehicles)?","['Crowded', 'Moderately busy', 'Quiet / Empty']"
stove_12,South Korea,flux1dev-gcs/stove_12/103_a stove in South Korea/38.png,seedimgs/10.png,flux1dev-gcs,What type of environment is visible?,"['Residential', 'Commercial / Public', 'Solid / Empty Background']","What natural features, if any, are visible in the background of the image?","['trees / forest', 'mountains / hills', 'waterbody', 'open ground / fields']"
stove_12,Spain,flux1dev-gcs/stove_12/97_a stove in Spain/103.png,seedimgs/11.png,flux1dev-gcs,What type of floor or ground is visible?,"['Tiled Floor', 'Wooden Floor', 'Carpeted Floor', 'Concrete Floor']",What type of road or terrain is visible?,"['Paved road', 'Dirt / gravel road (man-made)', 'Natural ground / grass (wild, non-constructed)', 'Tiled / courtyard-style surface']"
stove_12,Italy,flux1dev-gcs/stove_12/98_a stove in Italy/154.png,seedimgs/12.png,flux1dev-gcs,How visually organized does the indoor space appear?,"['Organized', 'Cluttered', 'Minimal']","Does the imagery suggest a rural, or urban setting?","['Urban', 'Rural']"
stove_12,Egypt,SD21-16/stove_12/99_a stove in Egypt/119.png,seedimgs/13.png,SD21-16,What main elements are visible in the background?,"['Walls and windows', 'Furniture', 'Appliances (e.g. fridge, microwave, washing machine)', 'Electronic equipment (e.g. TVs, computers, speakers)', 'Empty / Bare walls']","How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), quiet / empty (few or no people or vehicles)?","['Crowded', 'Moderately busy', 'Quiet / Empty']"
stove_12,Philippines,SD21-16/stove_12/100_a stove in Philippines/234.png,seedimgs/14.png,SD21-16,What type of environment is visible?,"['Residential', 'Commercial / Public', 'Solid / Empty Background']","What natural features, if any, are visible in the background of the image?","['trees / forest', 'mountains / hills', 'waterbody', 'open ground / fields']"
